Replicate,Clutch,Exposed?,Infected?,Lin[Infected],Prob[Infected],Prob[No infection],Most Likely Infected?,,experiment
4,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
5,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
6,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
7,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
8,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
9,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
10,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
11,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
12,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
13,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
14,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
15,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
16,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
17,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
18,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
19,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
20,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
21,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
22,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
23,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
24,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
25,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
26,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
27,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
28,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
29,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
30,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
31,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
32,5,e,N,-18.20289475,1.24E-08,0.999999988,No infection,,2
2,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
3,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
4,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
5,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
6,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
7,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
8,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
9,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
10,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
11,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
12,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
13,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
14,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
15,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
16,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
17,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
18,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
19,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
20,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
21,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
22,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
23,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
24,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
25,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
26,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
27,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
28,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
29,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
30,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
31,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
32,1,u,U,-0.741937345,0.322580645,0.677419355,No infection,,2
2,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
3,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
4,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
5,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
6,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
7,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
8,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
9,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
10,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
11,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
12,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
13,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
14,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
15,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
16,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
17,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
18,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
19,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
20,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
21,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
22,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
23,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
24,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
25,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
26,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
27,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
28,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
29,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
30,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
31,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
32,2,u,U,-3.401197382,0.032258065,0.967741936,No infection,,2
2,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
3,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
4,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
5,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
6,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
7,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
8,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
9,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
10,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
11,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
12,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
13,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
14,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
15,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
16,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
17,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
18,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
19,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
20,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
21,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
22,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
23,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
24,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
25,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
26,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
27,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
28,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
29,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
30,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
31,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
32,3,u,U,-2.674148649,0.064516129,0.935483871,No infection,,2
2,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
3,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
4,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
5,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
6,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
7,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
8,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
9,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
10,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
11,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
12,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
13,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
14,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
15,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
16,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
17,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
18,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
19,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
20,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
21,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
22,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
23,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
24,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
25,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
26,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
27,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
28,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
29,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
30,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
31,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
32,5,u,U,-18.20289475,1.24E-08,0.999999988,No infection,,2
